[2026-03-31T15:42:25.391+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.394+0000] {subprocess.py:93} INFO - INFO:root:Fetching hypno from https://pokeapi.co/api/v2/pokemon/97/
[2026-03-31T15:42:25.402+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.405+0000] {subprocess.py:93} INFO - INFO:root:Fetching krabby from https://pokeapi.co/api/v2/pokemon/98/
[2026-03-31T15:42:25.444+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.447+0000] {subprocess.py:93} INFO - INFO:root:Fetching kingler from https://pokeapi.co/api/v2/pokemon/99/
[2026-03-31T15:42:25.456+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.463+0000] {subprocess.py:93} INFO - INFO:root:Fetching voltorb from https://pokeapi.co/api/v2/pokemon/100/
[2026-03-31T15:42:25.473+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.477+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.496+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.511+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.522+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.530+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.546+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.550+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.621+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.623+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.627+0000] {subprocess.py:93} INFO - ERROR:root:failed to fetch
[2026-03-31T15:42:25.628+0000] {subprocess.py:93} INFO - INFO:root:Fetching page with offset 100
[2026-03-31T15:42:25.737+0000] {subprocess.py:93} INFO - INFO:root:Fetching electrode from https://pokeapi.co/api/v2/pokemon/101/
[2026-03-31T15:42:25.739+0000] {subprocess.py:93} INFO - INFO:root:Fetching exeggcute from https://pokeapi.co/api/v2/pokemon/102/
[2026-03-31T15:42:25.739+0000] {subprocess.py:93} INFO - INFO:root:Fetching exeggutor from https://pokeapi.co/api/v2/pokemon/103/
[2026-03-31T15:42:25.741+0000] {subprocess.py:93} INFO - INFO:root:Fetching cubone from https://pokeapi.co/api/v2/pokemon/104/
[2026-03-31T15:42:25.744+0000] {subprocess.py:93} INFO - INFO:root:Fetching marowak from https://pokeapi.co/api/v2/pokemon/105/
[2026-03-31T15:42:25.747+0000] {subprocess.py:93} INFO - INFO:root:Fetching hitmonlee from https://pokeapi.co/api/v2/pokemon/106/
[2026-03-31T15:42:25.750+0000] {subprocess.py:93} INFO - INFO:root:Fetching hitmonchan from https://pokeapi.co/api/v2/pokemon/107/
[2026-03-31T15:42:25.754+0000] {subprocess.py:93} INFO - INFO:root:Fetching lickitung from https://pokeapi.co/api/v2/pokemon/108/
[2026-03-31T15:42:25.757+0000] {subprocess.py:93} INFO - INFO:root:Fetching koffing from https://pokeapi.co/api/v2/pokemon/109/
[2026-03-31T15:42:25.758+0000] {subprocess.py:93} INFO - INFO:root:Fetching weezing from https://pokeapi.co/api/v2/pokemon/110/
[2026-03-31T15:42:25.886+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.891+0000] {subprocess.py:93} INFO - INFO:root:Fetching rhyhorn from https://pokeapi.co/api/v2/pokemon/111/
[2026-03-31T15:42:25.894+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
